finding,ICD10_code,PFx,PFx_ICD10_code
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, harmless lump on your adrenal gland. The adrenal glands sit on top of your kidneys and help make important chemicals for your body. These lumps aren't cancer, so they don't usually cause any problems. Doctors often find them by accident when checking for other things. Think of them like a tiny, extra piece that doesn’t interfere with the main work. Most times, they don’t need any special treatment, but doctors like to know they're there just in case. It's similar to noticing a little freckle during a check-up.",
Adrenal Hematoma,E27.8,"An adrenal hematoma is like a small bruise inside your adrenal gland. Adrenal glands sit on top of your kidneys. They help your body handle stress and make important hormones. Sometimes, these glands can get a little injury, just like when you fall and get a bruise on your arm. Usually, it heals by itself and doesn't cause problems. Doctors might see this kind of bruise when they look at a picture of your insides, like with an MRI or CT scan. It's usually harmless, so you don't have to worry.",
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia means the adrenal glands are bigger than normal. These glands sit on top of your kidneys. They make hormones that help with things like your blood pressure and how you get energy from food. But if these glands grow too large, they might make too many hormones. Think if you blew up a balloon until it was too big. It could change things in the body. Kids might start to grow up too fast, like starting puberty early. It’s good to know about hyperplasia to keep everything in balance and healthy.",
Adrenal Mass,R93.8,"An adrenal mass is a lump found on one of the small glands above your kidneys. These glands make hormones that help your body work right. Finding a mass might seem scary, but it doesn't always mean something bad. Sometimes, it’s like a harmless bump that doesn’t cause problems. Doctors will need more tests to know if it needs attention. Just because there’s an adrenal mass doesn’t mean it’s cancer or dangerous. It’s important to get more information to understand what it really is.",
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, harmless bump in the adrenal gland. These glands sit on top of your kidneys and help your body manage stress and use food. You can think of them like traffic lights that keep things flowing smoothly inside you. The lump does not usually cause problems and rarely needs treatment. But if it gets active, it can make too many hormones, which may cause trouble. It is like finding a tiny bump in the road that usually won't change your trip. Usually, doctors just watch it to make sure it behaves.",
Adrenal Hyperfunction,E27.8,"Adrenal hyperfunction means your adrenal glands make too many hormones. These glands are small and rest on top of your kidneys. The hormones they make help control your heart rate, blood pressure, and stress response. Imagine your body getting signals more than it needs. This can make your heart beat faster or your blood pressure rise. It's like when you hear a loud alarm going off when nothing is wrong. It's helpful to know why this happens, so you can understand how it affects your body.",
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is like a pea-sized lump that appears on top of your kidneys. You have two adrenal glands, sitting above each kidney, which make important body chemicals, such as adrenaline. A tumor here might not be dangerous, which is called benign, or it might be more serious, called malignant. Sometimes, doctors cannot tell the behavior right away. The tumor might change hormone levels, causing symptoms like changes in body weight or blood pressure. Doctors will check it carefully and decide the best treatment plan.",
Adrenal Cyst,E27.8,"An adrenal cyst is a small, fluid-filled sac found on the adrenal gland. The adrenal glands are two small organs on top of your kidneys. They help your body respond to stress and keep blood pressure normal. These cysts are usually harmless and don’t cause any pain. Most people don’t even know they have one unless it’s found by accident during a medical checkup. Imagine having an extra, tiny bubble that doesn’t bother you at all. That’s what an adrenal cyst is like: it doesn’t affect how your body works.",
Bladder Diverticulum,N32.3,"A bladder diverticulum is like a small pocket in the bladder wall. Think of your bladder like a balloon, and sometimes, a tiny extra bubble forms on it. Most of the time, it's not a problem, and you won’t even feel it. However, these pockets can sometimes catch and hold urine, which might cause infections. Imagine having a small pocket inside the bladder where liquid can get stuck. Doctors like to keep an eye on it, but usually, it's something people live with easily and without worry.",
Bladder Mass,R93.4,"When doctors do a check-up, they sometimes find something they weren’t looking for. A bladder mass is like a lump in your bladder. The bladder is where your pee is stored. Think of it like finding a strange rock on the ground. We don’t know if it’s just a regular rock or something special. This means we have to look more carefully to understand more. It might be harmless, or it could be important. Finding a mass means the doctors need to learn more about it to decide what it is.",
Bladder Wall Thickening,R93.4,"Bladder wall thickening is when the lining of your bladder looks thicker than normal. Your bladder is a small, stretchy sac in your pelvis that holds urine before you go to the bathroom. Imagine the bladder like a balloon that can fill up and empty. If the walls of the balloon are thicker, it might mean the bladder is reacting to something or working harder than usual. This finding is usually discovered by looking at pictures of your bladder, like from an ultrasound or another imaging test. It can be a sign of irritation or maybe something else, but it's not always something serious.",
Bladder Stone,N21.0,"A bladder stone is a hard piece of material that can form inside your bladder. It's like a tiny rock in the place where your pee is stored before it comes out of your body. This stone forms when minerals in your urine stick together and make a small, hard lump. Sometimes, these stones stay in your bladder and don’t cause any problems, but other times, they can bother you. You might feel pain in your lower belly or have trouble peeing. If it does bother you, a doctor can help you know what to do next.",
Bladder Cyst,R93.4,"A bladder cyst is like a small bubble that can form in your bladder. The bladder is where pee is stored in the body. These bubbles are filled with fluid and usually do not cause any problems or symptoms. It is a bit like having a tiny water balloon in your bladder that is not causing any trouble. Doctors often discover these cysts by chance when doing tests for other things. Most of the time, they do not need any treatment and do not cause harm, so it's okay to just keep an eye on it.",
Bladder Calculus,N21.0,"A bladder calculus is like a tiny stone that forms inside your bladder. It's a solid piece made from things in your pee that come together to make a hard lump. Think of it like a snowball, but instead of snow, it’s made of minerals. Small stones might come out when you go to the bathroom, but sometimes bigger ones stay inside. This can make peeing hurt or feel weird. Drinking a lot of water could help some bladder stones pass on their own, but others might need a doctor’s help to remove them.",
Bladder Cancer,C67.9,"Bladder cancer happens when cells in the bladder grow in a strange way and make a lump called a tumor. The bladder is like a balloon in your lower tummy that holds pee. When you drink, the bladder fills up, and when you go to the bathroom, it empties. If there is cancer, you might see blood in your pee or feel pain when you pee. It is important to talk to someone who can help you learn more about this. That way, you can understand what it means for you.",
Bladder Diverticula,N32.3,"Bladder diverticula are like small bubbles that form in the wall of the bladder. Think about how a bubble forms on a balloon. These pouches stick out from the bladder wall. Some people have them from when they are born, but others might get them later. This can happen if something presses on or blocks the bladder. Most of the time, bladder diverticula do not cause problems. However, they can hold urine, and if germs grow, it can lead to an infection. Watch out for signs like having to pee a lot or if it hurts to pee.",
Neurogenic Bladder,N31.9,"Imagine your bladder is like a balloon that fills and empties. With a neurogenic bladder, this might not happen as it should since the nerves around might not be talking to each other correctly. If the nerves don't work well, you might need to go to the bathroom a lot or really fast. Sometimes, it feels like it is hard to empty it. It’s like the wires are crossed, making it tricky. But there are ways to help your bladder work better to lessen worries about when to go or not go.",
Gallbladder Polyps,K82.4,"Gallbladder polyps are small growths inside the gallbladder, an organ that helps break down food. Think of the gallbladder as a small bag, and sometimes little bumps can grow on it. These bumps are usually not harmful, like freckles on the skin, and people usually don't feel them. Often, doctors find them when checking for other things. It's rare for these bumps to cause any trouble. Most of the time, they don't need special care. It's just good to know they're there, like keeping an eye on things in the garden.",
Cholelithiasis,K80.20,"Cholelithiasis means having tiny stones called gallstones in your gallbladder. The gallbladder is a small bag under your liver where bile, which helps digest food, is stored. Think of gallstones like little rocks. Most of the time, these stones don’t cause any problems, and people don’t even know they have them because they don’t feel sick. They just stay in the gallbladder quietly. If the stones do not block anything, they typically don't cause pain. It's good to know they exist, but they're often harmless if they stay put.",
Gallstones ,K80.20,"Gallstones are small, hard pieces that form in your gallbladder. The gallbladder is a tiny organ under your liver. It helps by storing a liquid that breaks down food. Sometimes this liquid forms stones. These are called gallstones. Usually, you can't feel them and they don't hurt. But, if a gallstone gets stuck, it might cause pain. This pain can be on your right side or between your shoulder blades. Gallstones are mostly made of a fat-like substance in your body. Even if you have them, you might not need to do anything.",
