finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is like a tiny lump on one of your adrenal glands. These glands sit on top of your kidneys and help control things like energy and stress. The adenoma, or lump, is usually harmless, like a small spot on your skin. Most of the time, people don't even know it's there because it doesn't cause any issues. Doctors often find it by surprise when looking for something else. These lumps rarely need any treatment, but it's good for your doctor to check on it from time to time.",D35.00,D35.00,True,True,89.89,1.0,1.0,4.890000000000001,1.6339558573853992,0.6219999999999999
Adrenal Hematoma,E27.8,"An adrenal hematoma is when there is a small amount of blood in the adrenal glands, which sit on top of your kidneys. These glands make hormones that help your body manage stress and control blood pressure. An adrenal hematoma can happen if you have an injury or after surgery. Usually, it does not cause any pain or problems and can heal on its own, like how a bruise on the skin fades over time. Doctors may just want to check it sometimes to make sure it gets better.",E27.8,D35.00,False,True,87.25,0.0,1.0,2.25,0.8615384615384616,0.35000000000000003
Adrenal Hyperplasia,E27.0,"Adrenal Hyperplasia is a problem where your adrenal glands, which are small organs on top of your kidneys, get bigger than usual. This happens because they don't have enough stuff called enzymes to make important chemicals like cortisol. Think of it like a factory that doesn’t have enough workers, making it bigger and busier. Sometimes, this can cause changes in your body. It might affect how you feel or grow. You might not notice it, but doctors can see it during tests. They will watch it closely to keep you healthy.",E27.0,E25.0,False,True,83.66,0.0,1.0,1.3400000000000034,0.8854700854700854,1.0680000000000007
Adrenal Mass,R93.8,"An adrenal mass is something found on a scan of your body, like an x-ray or MRI. It's discovered by accident sometimes. The adrenal glands are small and sit on top of the kidneys. They help make important chemicals for your body. If a mass is found on one of these glands, it's like finding an extra object that doesn't belong there. It might not be a problem, but it's good to know more about it. Imagine finding something in your closet you didn't know was there. A doctor checks if it needs any more attention.",R93.8,E27.9,False,True,84.68,0.0,1.0,0.3199999999999932,0.9515151515151523,0.8639999999999987
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small lump on your adrenal gland. Your adrenal glands sit on top of your kidneys and help control hormones. Think of this lump like a harmless, small bump. It's usually not something to worry about and it often doesn’t cause any problems. People don't usually feel sick or notice it's there. Doctors mostly find it by accident when you’re having tests for something else. It’s similar to finding a harmless mole on your skin. It's good to let a doctor know about it, but most of the time, it's nothing serious.",D35.00,D35.00,True,True,84.57,1.0,1.0,0.4300000000000068,1.7398601398601392,1.6860000000000015
Adrenal Hyperfunction,E27.8,"Your adrenal glands are like small hats on top of your kidneys, and they help control important things like energy and stress levels. In adrenal hyperfunction, these glands make too much of some hormones. Think of it like when the volume on your radio is turned up too high. It can make your body feel all mixed up. This could cause tiredness, weight gain, or high blood pressure. Knowing about this is important so you can understand how it affects your body and what you might need to do to feel better.",E27.8,E27.8,True,True,89.79,1.0,1.0,4.790000000000006,1.6345423143350606,0.6419999999999988
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is a growth on the adrenal gland, which sits on top of your kidneys. These glands make important hormones. These hormones help control your blood sugar, how you handle stress, and your blood pressure. Some tumors are like unexpected guests. Sometimes they are okay, but other times we need to watch them closely. This tumor's behavior is uncertain, meaning we’re not sure if it’s harmless yet or not. Doctors might do tests or check-ups to keep an eye on it and make sure your body is healthy.",D44.7,D44.1,False,True,83.66,0.0,1.0,1.3400000000000034,0.8854700854700854,1.0680000000000007
Adrenal Cyst,E27.8,"An adrenal cyst is a small, harmless bubble on your adrenal glands. These glands are like little hats that sit on top of your kidneys. They help with things like controlling energy and stress. Sometimes, a small bubble filled with fluid, known as a cyst, can appear on them. Most of the time, these bubbles don't cause any problems or pain. They’re kind of like tiny bags of water that don’t really change anything in your body. Many people don't even know they have one. It’s usually nothing to worry about.",E27.8,E27.8,True,True,85.28,1.0,1.0,0.28000000000000114,1.75625,1.5439999999999998
Bladder Diverticulum,N32.3,"A bladder diverticulum is like a small pouch or pocket that sticks out from the bladder. The bladder is where your body stores urine until you're ready to go to the bathroom. Sometimes, the bladder walls are not very strong, and a little pouch forms. This can be something you are born with or it can happen if the bladder works hard to push out urine. Usually, these pouches don't bother you, but if they do cause problems, a doctor might need to check them.",N32.3,N32.3,True,True,79.6,1.0,1.0,5.400000000000006,1.63125,2.6800000000000015
Bladder Mass,R93.4,"A bladder mass is a lump or bump inside the bladder. The bladder is where pee is stored before leaving the body. This lump could be a cyst, which is like a small bubble, or something called a tumor. Not all lumps are bad or cancer. Doctors can use tests like ultrasounds to get a better look at the mass. They might also look inside with a thin camera called a cystoscope. Depending on the test results, doctors will decide what to do next, like checking it regularly or asking a specialist for advice.",R93.4,N32.89,False,True,83.25,0.0,1.0,1.75,0.8727272727272728,1.1500000000000001
Bladder Wall Thickening,R93.4,"Bladder wall thickening means that your bladder walls are thicker than usual. Think of your bladder like a stretchy bag that holds pee until you're ready to go to the bathroom. Sometimes, the walls of this bag get thicker because they are working too hard or something is bothering them. Reasons for this could be an infection or something blocking the path of pee, making the bladder stretch and work harder. Imagine blowing up a balloon too much, and its sides get hard. This might need to be checked to find out the cause.",R93.4,N32.89,False,True,80.92,0.0,1.0,4.079999999999998,0.8393700787401576,1.6159999999999997
Bladder Stone,N21.0,"A bladder stone is like a tiny rock in your bladder, which is a part of your body that holds pee. These stones form when tiny minerals in your pee stick together and turn hard. They can start off very small, but might get bigger if not taken care of. Sometimes, they can hurt. Bladder stones happen when all the pee doesn't leave your bladder. Drinking lots of water can help keep new stones from growing and can keep your bladder healthy.",N21.0,N21.0,True,True,91.41,1.0,1.0,6.409999999999997,1.626990553306343,0.3180000000000007
Bladder Cyst,R93.4,"A bladder cyst is a small, fluid-filled bump inside the bladder. The bladder is where pee is collected before it leaves our body. When doctors find this by accident during a test for something else, it's called an incidental finding. Imagine finding a pebble in your shoe when you weren't looking for it! Often, bladder cysts are not harmful and don't cause problems. Still, doctors like to check them out to be sure. They look closer sometimes to see that the cyst isn’t changing or becoming a problem.",R93.4,N28.89,False,True,75.61,0.0,1.0,9.39,0.8192492781520694,2.678
Bladder Calculus,N21.0,"Think of your bladder like a water balloon. Sometimes, tiny hard rocks, called stones, can form inside. These stones come from minerals in your pee that stick together. They can be different sizes. Usually, they don’t hurt, but they might make you feel funny when you have to go to the bathroom. Drinking lots of water can help make these stones smaller or wash them out. This can make you feel better. If you ever feel pain or something doesn't feel right, tell an adult right away and they can help.",N21.0,N21.0,True,True,93.74,1.0,1.0,8.739999999999995,1.6205338809034908,-0.14799999999999902
Bladder Cancer,C67.9,"Bladder cancer means that some cells in your bladder start to grow faster than they should. These cells lump together and form what is called a tumor. The bladder is like a water balloon in your body that holds pee until you go to the bathroom. When the cells grow too fast, they might make the bladder not work well. Bladder cancer is more common in adults but can happen to anyone. It is important to learn what this means and remember there are treatments and support to help you.",C67.9,C67.9,True,True,81.63,1.0,1.0,3.3700000000000045,1.645766590389016,2.274000000000001
Bladder Diverticula,N32.3,"Bladder diverticula are like small pouches that form in the bladder wall. Imagine the bladder is a balloon, and sometimes, small bulging pockets can appear on the sides. These pouches can be caused when the muscle of the bladder becomes weak or if the pressure inside the bladder is too high. Often, people don’t feel anything different and don’t realize the pouches are there. However, in some cases, they might cause problems like difficulty urinating or infections. Doctors can identify them during tests, and they will decide if any treatment is necessary.",N32.3,N32.3,True,True,64.41,1.0,1.0,20.590000000000003,1.6092635479388606,5.718000000000002
Neurogenic Bladder,N31.9,"Neurogenic bladder means the nerves that help your bladder do not work right. Bladders are like balloons that stores and release pee; the nerves are like the strings that guide and control how the balloons work. If the nerves don’t work well, you may find it hard to know when you need to pee or how to hold it in until you get to the bathroom. This can be a bit tricky, but doctors can help you understand what’s happening and find the best ways to deal with it.",N31.9,N31.9,True,True,82.68,1.0,1.0,2.319999999999993,1.6602409638554219,2.0639999999999987
Gallbladder Polyps,K82.4,"A gallbladder polyp is like a small, bump-like growth that forms on the inside of your gallbladder. Your gallbladder is a small organ that stores a substance called bile, which helps you digest food. Polyps in the gallbladder are usually found by accident during tests for other issues because they often don't cause any symptoms. Most of the time, these polyps are not harmful and don't turn into anything serious. Just like a tiny mole on your skin doesn't usually cause problems, most gallbladder polyps don't either. Doctors often monitor them to make sure they don't change.",K82.4,K82.8,False,True,71.95,0.0,1.0,13.049999999999997,0.8142348754448399,3.4099999999999993
Cholelithiasis,K80.20,"Cholelithiasis is when you have gallstones in your gallbladder. Gallstones are tiny stones that can form inside a small organ called the gallbladder. The gallbladder is located under your liver. Its job is to store a fluid called bile, which helps your body digest food. Sometimes, this fluid can harden and form stones. Not everyone with gallstones will notice any symptoms. But some people may feel pain in their upper right belly or feel sick to their stomach. It's good to know about gallstones, so doctors can tell you what to do if needed.",K80.20,K80.20,True,True,76.42,1.0,1.0,8.579999999999998,1.6208768267223383,3.316
Gallstones ,K80.20,"Gallstones are tiny, hard pieces that form in your gallbladder. Your gallbladder is a small organ under your liver that holds bile, which helps break down food. You can think of it like a little storage pouch. Sometimes, bits in the bile can turn hard and make stones. Most of the time, gallstones don't cause problems, and people don't even know they have them. But if they block bile, it might hurt. Eating healthy and moving around can help keep your gallbladder strong.",K80.20,K80.20,True,True,93.24,1.0,1.0,8.239999999999995,1.6216450216450218,-0.04799999999999893
Gallbladder Sludge,R93.2,"The doctor found 'gallbladder sludge' on your scan. Think of your gallbladder like a small bag that keeps bile, a liquid that helps break down food. Sometimes this liquid can get thicker, kind of like a smoothie. We call this 'sludge'. Doctors often see it during scans, not because it causes pain. On its own, it's not bad, but it might mean you could have gallbladder problems later, like gallstones. It's like a yellow light to watch. The doctor will check it now and then.",R93.2,K82.8,False,True,86.1,0.0,1.0,1.0999999999999943,0.8952380952380956,0.5800000000000012
Gallbladder Wall Thickening,K81.9,"The gallbladder is a small organ in your body. It helps you digest food. Think of it like a little pouch or bag. Normally, the walls of this bag are thin. But sometimes they can become thick, like if you blow too much air into a balloon. This might happen because of some stones in it or if there's an infection. Some people feel pain, but others don’t feel a thing. If the walls are thick, doctors may look into why. It's common and many people stay healthy with this. Just eat well and stay active!",K81.9,K82.8,False,True,95.57,0.0,1.0,10.569999999999993,0.8172860847018151,-1.3139999999999985
Gallbladder Tumor,D37.6,"A gallbladder tumor is a lump inside the gallbladder. The gallbladder is a small organ that stores juices for digesting food. Even though a tumor sounds worrying, it doesn't always mean cancer. Sometimes these lumps are not harmful. Doctors might do more tests to know exactly what it is. They will check if it needs just watching or if something else needs to be done. A tumor like this means there's a mystery to solve, and doctors are like detectives trying to find the right answers for what should happen next.",D37.6,D13.4,False,True,75.2,0.0,1.0,9.799999999999997,0.8185185185185185,2.76
Adenomyomatosis,K82.8,"Adenomyomatosis is a condition that affects your gallbladder. Think of the gallbladder as a small bag inside your body that helps break down food. In adenomyomatosis, some parts of the gallbladder wall become thicker. This change doesn’t usually cause pain or problems. It’s not a disease like cancer. Imagine playing with Play-Doh and squishing it thicker in some spots. It still works the same way! Most people don’t even know they have adenomyomatosis until they get a special scan or picture taken at the doctor. Don’t worry, your gallbladder can still do its job.",K82.8,K82.4,False,True,69.38,0.0,1.0,15.620000000000005,0.8120336943441637,3.9240000000000013
Porcelain Gallbladder,K82.8,"The gallbladder is a small pouch that holds bile, which helps digest food. Sometimes, the walls of the gallbladder can get very hard because of calcium build-up. When this happens, it's called a 'porcelain gallbladder.' It is called porcelain because it looks bright and shiny like a dish. Finding this means that the gallbladder might not work properly. Think of it like having a mug that looks smooth and shiny, but it might not hold hot drinks well due to hidden little cracks. It's good to know about this to keep your body safe.",K82.8,K82.8,True,True,91.71,1.0,1.0,6.709999999999994,1.625940337224384,0.25800000000000134
Gallbladder Agenesis,Q44.0,"Gallbladder Agenesis means being born without a gallbladder. The gallbladder is a small sac that helps in digestion, mainly with fatty foods. Living without a gallbladder is possible, and many people do not even know they don't have it. It's like having a backpack without a tiny pocket-- you can still carry your stuff. Doctors often find out about it by chance during other tests. People with this condition can usually live normal, healthy lives. Most of the time, there are no symptoms, so there is no need to worry.",Q44.0,Q44.0,True,True,75.3,1.0,1.0,9.700000000000003,1.6186915887850468,3.540000000000001
Intestinal Polyp,K63.5,"An intestinal polyp is a small growth inside your intestines. Think of it like a small bump or lump on the inside wall. They are quite common and usually happen as people get older. Most polyps are harmless and don't make you feel sick or cause pain. Sometimes, if they grow bigger, they might need attention to make sure they don't turn into something serious. Doctors often check these polyps to ensure they are safe. So, while they might sound scary, most of the time, polyps are not dangerous.",K63.5,K63.5,True,True,83.96,1.0,1.0,1.0400000000000063,1.6980392156862743,1.8080000000000014
Diverticulosis,K57.30,"Diverticulosis means you have small pockets in the walls of your colon, which is part of your large intestine. Think of them like tiny balloons sticking out. These pockets don't usually cause problems or make you feel sick, and lots of people have them without knowing it. Having these pockets is more common as people grow older. Eating lots of fruits, vegetables, and whole grains can help keep your colon healthy. This healthy eating helps prevent the pockets from causing issues. It's a regular part of aging for many people.",K57.30,K57.30,True,True,75.3,1.0,1.0,9.700000000000003,1.6186915887850468,3.540000000000001
Appendicitis,K35.80,"Appendicitis is a condition where the appendix, a tiny pouch attached to the large intestine, becomes inflamed and painful. Imagine it like a little balloon that is overfilled and ready to pop. It is usually located on the lower right side of your abdomen, and when it gets swollen, it can hurt a lot. Many people feel pain that starts around the belly button and moves to the lower right side. You might also experience nausea, a fever, or even a loss of appetite. If appendicitis is not treated, it can cause serious problems, so it's important to pay attention to the symptoms and let an adult know if there's severe pain.",K35.80,K35.80,True,True,69.41,1.0,1.0,15.590000000000003,1.6120554550934298,4.718000000000001
Ileus,K56.7,"An ileus is when the intestines stop moving food along. Picture it like cars stuck in traffic. Normally, food moves like cars on a road but sometimes it doesn’t. This can make your stomach feel full or hurt. You might not be able to poop or pass gas. Ileus can happen after surgery or when sick. Doctors can help fix it. They have ways to get things moving again. You might need to rest and let your body heal while treatment is given. Listening to your doctor is important to help your body recover.",K56.7,K56.7,True,True,95.77,1.0,1.0,10.769999999999996,1.6169923534409516,-0.5539999999999994
